john@gmail.com,vitamin01,4
rida@gmail.com,homecare03,1
judy@gmail.com,medicine03,2
ned@gmail.com,Gloves,2
vinc@gmail.com,vitamin08,1
ryan@gmail.com,personalcare03,3
kelly@gmail.com,nutrition01,0
judy@gmail.com,homecare01,3
zayn@gmail.com,homecare04,2
rida@gmail.com,Airstream,3
kelly@gmail.com,personalcare01,4
angel@gmail.com,personalcare01,3
kaylum@gmail.com,homecare06,2
jessi@gmail.com,medicine07,0
judy@gmail.com,homecare03,4
zayn@gmail.com,medicine08,2
angel@gmail.com,BodyScrub,2
ryan@gmail.com,personalcare02,3
vinc@gmail.com,vitamin09,2
liza@gmail.com,vitamin01,0
ryan@gmail.com,medicine02,1
kelly@gmail.com,vitamin05,0
john@gmail.com,nutrition01,3
kelly@gmail.com,medicine02,1
jessi@gmail.com,BodyScrub,2
ned@gmail.com,nutrition04,4
jessi@gmail.com,homecare07,1
vinc@gmail.com,personalcare02,2
kaylum@gmail.com,medicine01,3
angel@gmail.com,Magnetic,1
