_id,title,userName,productName,headline,rating,text,zipcode,city,productPrice
5fca7ace9ed3dd17a28f26df,healthhubReviews,jwang246@hawk.iit.edu,Folic Acid Tablets 800mcg 100CT,it works,4,it is amazing,60616,Chicago,4.19
5fcb02b801aa7c5876ccb5b5,healthhubReviews,jwang246@hawk.iit.edu,Folic Acid Tablets 800mcg 100CT,worth it,4,I like the items and the target good service,60616,Chicago,4.19
5fcb030d01aa7c5876ccb5b8,healthhubReviews,jwang246@hawk.iit.edu,Calcium and Magnesium With Zinc Tablets,okay,3,no side effects on me,60616,Chicago,4.99
5fcb033001aa7c5876ccb5ba,healthhubReviews,jwang246@hawk.iit.edu,Immune+ Vitamin C Tablet,worth it,5,it is easy to eat and good!,60616,Chicago,8.29
5fcb037301aa7c5876ccb5bc,healthhubReviews,jwang246@hawk.iit.edu,Custom Molded Earplugs Black,easy to  use,5,"These earplugs are definitely as advertised. The instructions are very clear on how the molding works, making it simple. They are very comfortable. Great product.",60616,Chicago,19.69
5fcb039e01aa7c5876ccb5be,healthhubReviews,jwang246@hawk.iit.edu,Custom Molded Earplugs Black,Super Easy To Fit,5,Love the earplugs- super easy to fit. I have been looking for something like this for a while.,60616,Chicago,19.69
5fcb044c01aa7c5876ccb5c0,healthhubReviews,steven@gmail.com,Zinc 30 mg Tablets 100 CT,Best,5,Best brand of vitamins out there :) need more,60616,Chicago,4.19
5fcb04ac01aa7c5876ccb5c2,healthhubReviews,steven@gmail.com,Calcium and Magnesium With Zinc Tablets,mixed feeling,3,I have mixed feelings about this product. I bought it because we have been trying to have a baby for about 6 months now and I read that taking these would help. I only took these pills for about a week... and I got pregnant. So that??s awesome! They worked for me.. however. There is magnesium inside which if you don??t know make you poop A LOT. It works as a laxative. It was hard for me to be at work because I would randomly have to just run to the bathroom and explode. But after I went I was fine. So I??m so grateful for these pills that I believe helped me get pregnant. But I stopped taking them shortly.,60616,Chicago,4.99
5fcb04e401aa7c5876ccb5c6,healthhubReviews,steven@gmail.com,Vitamin C 10CT, Getting a head start,4,"Needed these just in time to find out I'm pregnant!!
o find out I'm pregnant!!
",60616,Chicago,6.49
5fcb050d01aa7c5876ccb5c8,healthhubReviews,steven@gmail.com,Natures Ultimate Lean Muscle Protein Powder,Haven't used like i should,3,Haven't really used like i should have been but it doesn't have a smell or horrible taste so i give it 5 stars for that. Started to take them again will update once done.,60616,Chicago,19.99
5fcb053301aa7c5876ccb5ca,healthhubReviews,steven@gmail.com,Cold Max Night Cool Burst Liquid 8 fl OZ, Deformed bottle,1,This is how my package came. Completely deformed. I??m glad people are being paid not to work apparently. Extremely annoying.,60616,Chicago,12.19
5fcb055301aa7c5876ccb5cc,healthhubReviews,steven@gmail.com,Extra Strength Rapid Release Gels with Acetaminophen,I like saving money,5,"Cheaper, no taste, One bottle last for 3 months (little more) , get it every 3 months...",60616,Chicago,7.49
5fcb05b301aa7c5876ccb5ce,healthhubReviews,steven@gmail.com,Steel Drop Arm Bedside Commode with Padded,"I swear, no inappropriate oaths necessary!",5,"Truly easy to use, and truly easy to assemble. The only product needing assembly I haven't had to use inappropriate language to help the process along in the last 20 years! EASY to use directions that actually made sense!",60616,Chicago,150.99
5fcb060501aa7c5876ccb5d0,healthhubReviews,steven@gmail.com,TranSport Aluminum Transport Wheelchair,"I weigh 260, it supports me fine.",5,"Easy to put together. Strong, easy to use, the adjustable leg heights are a big plus.",60616,Chicago,219.99
5fcb070f01aa7c5876ccb5d2,healthhubReviews,tsmith@gmail.com,Folic Acid Tablets 800mcg 100CT,Small and effective,5,Folic acid is great for the heart. Good to take daily. These were great.,60654,Chicago,4.19
5fcb078f01aa7c5876ccb5d4,healthhubReviews,tsmith@gmail.com,Sinus Severe Daytime Caplets with Non-Drowsy Formula 24 CT,Would buy again,5,I would buy again,60616,Chicago,11.99
5fcb07b401aa7c5876ccb5d6,healthhubReviews,tsmith@gmail.com,Custom Molded Earplugs Black,Finally,5,Finally ear plugs that are comfotable and work. The lanyard works perfectly. Always worried id loose when mowing grass but no problems and hearing protection is great,60616,Chicago,19.69
5fcb07c901aa7c5876ccb5d8,healthhubReviews,tsmith@gmail.com,Steel Drop Arm Bedside Commode with Padded, Unusable,1,"and sent on to the next person. Contained no directions, no list of parts, and no hardware. I have a pile of steel tubes, a bucket, and a toilet set. I needed this NOW, as my mom's discharge date from the nursing home was moved up by a week, so now I can bite my nails while I hope a replacement arrives in time.",60616,Chicago,150.99
5fcb082001aa7c5876ccb5da,healthhubReviews,jimmy2@gmail.com,Natures Ultimate Lean Muscle Protein Powder,Not bad,4,Easy to sallow and tasty it??s not bad,10003,New York,19.99
5fcb083401aa7c5876ccb5dc,healthhubReviews,jimmy2@gmail.com,Calm Relax with 300mg Magnesium and 125mg Ashwagandha,Good stuff,5,Once daily small pill :),10003,New York,19.99
5fcb08a801aa7c5876ccb5de,healthhubReviews,jimmy2@gmail.com,3-Ply Cloth Face Masks 50CT,Average product; less than 50 in box,3,"These masks are average quality 3-ply masks. Occasional problem with ear loops not being attached effectively. More than once, there have been less than the stated quantity in the box. Since we divide them up between employees weekly, it's frustrating to run short at the end of the box.",10003,New York,14.99
5fcb08c901aa7c5876ccb5e0,healthhubReviews,jimmy2@gmail.com,Steel Drop Arm Bedside Commode with Padded,Not recommended for adults,2,Very small seat. Seat and lid can be bent very easily with your hands. You get what you pay for. Would recommend for children only.,10003,New York,150.99
5fcb096d01aa7c5876ccb5e4,healthhubReviews,jimmy2@gmail.com,3-Ply Cloth Face Masks 50CT, Great quality mask and love the sanitary dispenser box,5,"The masks are great quality, comfortable and breathable. We ordered them for our physical therapy clinic and having the dispenser box allows people to pull just one mask at a time, keeping the rest sanitary. Plus, the way they were packaged (sealed in plastic wrap) made us confident that we were getting a high quality and safe product. Our staff wears them, as well as clients who forget to bring a mask with them. Will be ordering more soon.",60616,Chicago,14.99
5fcb098b01aa7c5876ccb5e6,healthhubReviews,jimmy2@gmail.com,Snack Bars 12CT,works,5,Love this product take with biotin and if you have breakable nails this will strengthen them. Will definitely b,60616,Chicago,22.99
